,0
5347,-0.0
5348,0.0
5349,-0.0
5350,0.0
5351,-0.0
5352,-0.0
5353,0.0
5354,0.0
5355,0.0
5356,0.0
5357,-0.0
5358,0.0
5359,0.0
5360,-0.0
5361,-0.0
5362,-0.0
5363,0.0
5364,0.0
5365,0.0
5366,0.0
5367,0.0
5368,0.0
5369,-0.0
5370,0.0
5371,-0.0
5372,0.0
5373,0.0
5374,0.0
5375,-0.0
5376,-0.0
5377,-0.0
5378,-0.0027682402974673614
5379,0.0
5380,0.0
5381,-0.0
5382,0.0
5383,-0.009568906506200459
5384,-0.0
5385,-0.0
5386,-0.0
5387,0.0
5388,0.0
5389,-0.0
5390,0.0
5391,0.0
5392,0.0
5393,-0.0
5394,0.0
5395,-0.0
5396,0.0
5397,-0.0
5398,0.0
5399,-0.0
5400,-0.022521178427122868
5401,-0.0
5402,0.0
5403,0.0
5404,0.0
5405,0.0403162107378896
5406,0.005003481939177545
5407,-0.028394755500397606
5408,0.012285403534067041
5409,-0.0
5410,-0.0
5411,-0.0
5412,0.0
5413,0.0
5414,0.0
5415,0.0
5416,0.0
5417,0.0
5418,-0.10329074065390431
5419,0.0072432103851103324
5420,0.0
5421,-0.0
5422,0.0
5423,-0.0
5424,-0.0
5425,0.0
5426,0.0
5427,0.0
5428,0.0
5429,0.0
5430,-0.0
5431,0.0
5432,0.049767194029537
5433,-0.0
5434,0.0
5435,-0.0
5436,0.0
5437,-0.0
5438,0.0
5439,-0.0
5440,-0.0
5441,0.0
5442,0.016054668595709365
5443,-0.02843520370881958
5444,-0.0014015898439723173
5445,0.0
5446,-0.0
5447,-0.0
5448,0.0
5449,-0.011015594916451099
5450,0.0
5451,-0.0
5452,0.0
5453,0.0
5454,0.0
5455,-0.0
5456,-0.0
5457,-0.0031039651774484867
5458,-0.0
5459,-0.0
5460,-0.0
5461,-0.03957397502933091
5462,0.0
5463,-0.0
5464,-0.0
5465,0.0
5466,-0.016755216688864594
5467,-0.0
5468,0.0
5469,0.0
5470,0.0
5471,0.013354877480235894
5472,0.0
5473,0.0
5474,0.039277253630499276
5475,0.05105854939606935
5476,-0.0
5477,-0.0
5478,0.0
5479,0.001441609636603447
5480,-0.0
5481,-0.0
5482,-0.021543469002601956
5483,0.0
5484,-0.0
5485,0.0
5486,0.0050492393084202725
5487,-0.03235810313624876
5488,0.0
5489,0.0
5490,0.02178725948954585
5491,0.0
5492,0.0
5493,-0.0
5494,-0.0
5495,-0.0
5496,-0.007075829241305898
5497,0.0
5498,0.0
5499,-0.0
5500,0.017866186686846697
5501,-0.0
5502,0.0
5503,-0.03407890163862104
5504,-0.0
5505,-0.0007269846992746798
5506,-0.0
5507,0.0004932948782294666
5508,0.0
5509,0.0
5510,-0.016984107665522385
5511,0.0
5512,-0.0
5513,0.0
5514,0.0007357338247524492
5515,-0.0
5516,-0.0
5517,-0.0
5518,0.0
5519,0.0
5520,-0.0
5521,-0.0031285848909985425
5522,0.0023551576979438105
5523,-0.0
5524,-0.031529263371655625
5525,-0.0
5526,0.0
5527,-0.0
5528,0.020811351391631927
5529,0.0
5530,-0.0
5531,0.011507146213821873
5532,0.0
5533,-0.0072644950453996104
5534,-0.0
5535,0.007023420965948435
5536,0.06357318399999268
5537,-0.02642051252059774
5538,0.05486984930187089
5539,0.0
5540,-0.0
5541,0.035135021815105416
5542,0.0
5543,-0.0
5544,0.0
5545,-0.0
5546,0.0
5547,-0.0
5548,-0.0
5549,-0.0026644873527285062
5550,0.0
5551,0.0
5552,0.0007982295396820049
5553,-0.0
5554,0.0
5555,0.03253057001945825
5556,-0.0
5557,-0.0
5558,0.0
5559,-0.03154247838985391
5560,-0.0
5561,0.0
5562,0.0
5563,-0.0
5564,-0.0
5565,0.00921219716745214
5566,-0.0
5567,0.0
5568,-0.0
5569,0.0
5570,0.0
5571,-0.0
5572,0.0
5573,-0.0
5574,0.004625109548046291
5575,0.010948642764365468
5576,-0.0
5577,0.0
5578,-0.0012157138598432038
5579,0.0
5580,0.0
5581,0.0030732303400908823
5582,0.0
5583,0.0
5584,-2.8517071110956138e-05
5585,-0.0
5586,0.0
5587,-0.0
5588,-0.0
5589,0.0
5590,-0.004319833034712284
5591,0.01053923419837155
5592,-0.016616378784443775
5593,-0.004687749201706115
5594,0.0
5595,0.002079429583154546
5596,0.06446902824058331
5597,-0.0
5598,0.0
5599,-0.0
5600,-0.012642695264398651
5601,0.0
5602,-0.0
5603,0.0
5604,-0.0
5605,-0.0
5606,0.0
5607,0.008080689316249945
5608,0.0
5609,0.0
5610,0.0
5611,-0.0
5612,0.0
5613,0.0
5614,0.0
5615,-0.0
5616,-0.0
5617,-0.0
5618,-0.0
5619,0.0
5620,0.0
5621,0.0019400879350106592
5622,-0.004463967864417162
5623,-0.0
5624,-0.0
5625,0.0
5626,0.012252241891933968
5627,0.0
5628,0.0
5629,2.248073047861343e-05
5630,-0.0
5631,-0.0
5632,0.0
5633,-0.0
5634,0.0
5635,0.0
5636,-0.0
5637,0.0
5638,-0.0
5639,-0.0
5640,-0.011282346542227706
5641,0.011197661761788935
5642,0.0
5643,0.0
5644,0.0
5645,-0.0
5646,-0.0006489504926658896
5647,0.0
5648,0.009822338962223842
5649,0.011302404876914696
5650,-0.0
5651,0.0
5652,0.0
5653,-0.0
5654,0.0
5655,0.009286375796490942
5656,-0.0
5657,0.006045513225818588
5658,0.0
5659,0.0
5660,0.012945932323000564
5661,-0.0
5662,0.0
5663,0.0
5664,-0.0
5665,0.0
5666,0.0
5667,-0.0
5668,-0.0
5669,-0.0
5670,0.0
5671,0.0
5672,-0.010012094107051728
5673,-0.0
5674,0.006038578478839041
5675,0.0
5676,0.0
5677,-0.0
5678,-0.0012193753569991195
5679,-0.0
5680,-0.0
5681,-0.0
5682,-0.0
5683,-0.014887865480351703
5684,0.0
5685,-0.0
5686,0.0
5687,0.0
5688,0.006754058512023597
5689,-0.0
5690,0.0
5691,-0.0
5692,0.011993820749853334
5693,-0.026273631446946277
5694,-0.0
5695,-0.0
5696,-0.00039108153547529056
5697,0.00011671672034707647
5698,-0.0
5699,-0.0
5700,0.0
5701,-0.0
5702,0.0
5703,-0.0
5704,-0.0
5705,-0.0
5706,0.0
5707,-0.0
5708,0.0
5709,-0.0
5710,0.0
5711,-0.0
5712,0.0
5713,0.018370332046019566
5714,0.0
5715,-0.0
5716,-0.0
5717,-0.0
