decile,mean_ret,std_ret,count
1.0,0.000714950841229648,0.03304646156965268,46
2.0,-0.008629333922219946,0.02557577460306358,60
3.0,-0.001757512532504024,0.01725625826055013,55
4.0,-0.0027654852906663363,0.020814355511726734,58
5.0,0.00017791603903234552,0.016676808500479895,85
6.0,-0.00019242077439174388,0.017471598845120073,41
7.0,0.0008970341537258505,0.020423486527109454,43
8.0,0.002423959069913987,0.021002418557750972,31
9.0,0.009145805724779197,0.01515038040954816,36
10.0,0.019169659798012804,0.029107577426509643,33
