decile,mean_ret,std_ret,count
1.0,0.007804471162224579,0.039678524112218026,476
2.0,0.0029371597529658238,0.03290197177650944,390
3.0,0.0034751790909327705,0.03677958486969187,393
4.0,0.001669281835841071,0.03549523783138583,374
5.0,0.003560464733844659,0.03537411345526666,350
6.0,-0.0023355789285821565,0.03740612006525516,309
7.0,0.00044321493353789086,0.035333913055010074,283
8.0,-0.00033926403372779983,0.03338390296460935,247
9.0,0.0030365080661628654,0.04017975277239465,210
10.0,-0.001167161157230793,0.04577227264021925,225
