,ic
2181,0.11991101223581756
2182,0.13147942157953282
2183,0.1403781979977753
2184,0.05361512791991101
2185,0.04471635150166852
2186,0.030478309232480537
2187,-0.001557285873192436
2188,0.026918798665183537
2189,0.06206896551724137
2190,0.005561735261401557
2191,0.09543937708565071
2192,0.1604004449388209
2193,0.09098998887652948
2194,0.01668520578420467
2195,0.0002224694104560623
2196,0.05494994438264739
2197,-0.0771968854282536
2198,-0.0389321468298109
2199,-0.07185761957730812
2200,-0.1670745272525028
2201,-0.1604004449388209
2202,-0.1132369299221357
2203,-0.14304783092324808
2204,-0.15417130144605118
2205,-0.0353726362625139
2206,-0.038042269187986644
2207,-0.05628476084538376
2208,-0.034482758620689655
2209,-0.06829810901001113
2210,-0.03759733036707453
2211,-0.061179087875417135
2212,-0.058954393770856504
2213,-0.05050055617352613
2214,-0.05939933259176862
2215,-0.05183537263626252
2216,-0.06696329254727475
2217,-0.08743047830923248
2218,-0.0731924360400445
2219,-0.03181312569521691
2220,-0.05228031145717464
2221,-0.0914349276974416
2222,-0.12747497219132367
2223,-0.13014460511679646
2224,-0.0878754171301446
2225,0.07586206896551724
2226,-0.034482758620689655
2227,0.08342602892102337
2228,0.11946607341490545
2229,0.22269187986651834
2230,0.2716351501668521
2231,0.37263626251390436
2232,0.28987764182424913
2233,0.2600667408231368
2234,0.2413793103448276
2235,0.21690767519466073
2236,0.2182424916573971
2237,0.26852057842046717
2238,0.2582869855394883
2239,0.25917686318131256
2240,0.2667408231368187
2241,0.28142380422691876
2242,0.3477196885428253
2243,0.3842046718576196
2244,0.41846496106785314
2245,0.40778642936596216
2246,0.3882091212458286
2247,0.2836484983314794
2248,0.2796440489432703
2249,0.2324805339265851
2250,0.2418242491657397
2251,0.27519466073414905
2252,0.2765294771968854
2253,0.2912448566247714
2254,0.25876070913262733
2255,0.19846479152734614
2256,0.19846479152734614
2257,0.13772388560025478
2258,0.08566025194846218
2259,0.014239626297926179
2260,0.055401046065369046
2261,-0.037379019032056225
2262,-0.04828123291640595
2263,-0.025141840182275912
2264,0.016464567906977146
2265,-0.04249638473287344
2266,0.0066755675885002315
2267,0.0066755675885002315
2268,0.05251446502953515
2269,0.1188251030753041
2270,0.034935470379817875
2271,0.005785491910033534
2272,-0.04873164339605169
2273,-0.012906097337767113
2274,0.05496217314531857
2275,0.17044949242637253
2276,0.04717401095873496
2277,0.14441477883122167
2278,0.13106364365422118
2279,0.11281709224565391
2280,0.09167779488206984
2281,0.09078771920360314
2282,0.04138391392834796
2283,0.11169206877435849
2284,0.09567248918919152
2285,0.10790966803897184
2286,0.2200467251351405
2287,0.2645455573161598
2288,0.23028145653677498
2289,0.23292547274749723
2290,0.2925472747497219
2291,0.33793103448275863
2292,0.4291434927697442
2293,0.32057842046718577
2294,0.38954393770856505
2295,0.4593993325917686
2296,0.39532814238042263
2297,0.41846496106785314
2298,0.4518353726362625
2299,0.3828698553948832
2300,0.37352614015572855
2301,0.4113459399332592
2302,0.44338153503893213
2303,0.42869855394883205
2304,0.35839822024471635
2305,0.39265850945494996
2306,0.4064516129032258
2307,0.3931034482758621
2308,0.3797552836484983
2309,0.3632925472747497
2310,0.3539488320355951
2311,0.43359288097886545
2312,0.4402669632925473
2313,0.41401557285873186
2314,0.43893214682981085
2315,0.432258064516129
2316,0.3979977753058954
2317,0.4318131256952169
2318,0.4496106785317019
2319,0.4313681868743047
2320,0.40511679644048937
2321,0.3103448275862069
2322,0.2395995550611791
2323,0.24983314794215797
2324,0.1385984427141268
2325,0.019799777530589546
2326,0.03937708565072302
2327,0.030033370411568408
2328,0.09410456062291435
2329,0.18086763070077863
2330,0.22135706340378197
2331,0.27430478309232476
2332,0.19421579532814237
2333,0.2671857619577308
2334,0.32413793103448274
2335,0.3441601779755284
2336,0.34905450500556173
2337,0.27519466073414905
2338,0.33392658509454953
2339,0.29343715239154616
2340,0.31568409343715237
2341,0.22625139043381537
2342,0.21245828698553948
2343,0.2987764182424916
2344,0.34060066740823136
2345,0.33036707452725245
2346,0.2253615127919911
2347,0.24271412680756396
2348,0.2645161290322581
2349,0.2578420467185762
2350,0.2040044493882091
2351,0.2200222469410456
2352,0.23915461624026696
2353,0.26273637374860953
2354,0.2489432703003337
2355,0.19243604004449388
2356,0.11679644048943269
2357,0.14571746384872078
2358,0.23648498331479423
2359,0.19955506117908786
2360,0.24716351501668518
2361,0.2756395995550612
2362,0.24360400444938823
2363,0.2413793103448276
2364,0.2307007786429366
2365,0.20489432703003335
2366,0.18264738598442715
2367,0.22269187986651834
2368,0.20934371523915463
2369,0.2342602892102336
2370,0.18131256952169075
2371,0.18798665183537264
2372,0.17552836484983317
2373,0.12880978865406006
2374,0.04916573971078977
2375,-0.02246941045606229
2376,0.05583982202447163
2377,0.014460511679644046
2378,-0.08565072302558399
2379,0.01668520578420467
2380,-0.009566184649610678
2381,-0.04827586206896552
2382,0.05850945494994438
2383,0.08921023359288098
2384,0.18086763070077863
2385,0.12347052280311456
2386,0.21201334816462733
2387,0.23381535038932147
2388,0.3348164627363737
2389,0.3819799777530589
2390,0.36462736373748605
2391,0.33392658509454953
2392,0.28097886540600664
2393,0.13192436040044492
2394,-0.03626251390433815
2395,-0.1003337041156841
2396,-0.05228031145717464
2397,-0.021579532814238044
2398,-0.10300333704115683
2399,-0.027808676307007785
2400,0.00867630700778643
2401,0.024249165739710785
2402,0.016240266963292546
2403,-0.027808676307007785
2404,-0.11190211345939934
2405,-0.07541713014460512
2406,-0.10300333704115683
2407,-0.06518353726362626
2408,-0.05583982202447163
2409,-0.07363737486095662
2410,-0.058954393770856504
2411,-0.05050055617352613
2412,-0.07942157953281423
2413,-0.07986651835372637
2414,-0.04405384385920912
2415,-0.09834241912005268
2416,-0.13594393231301402
2417,-0.14039381553111593
2418,-0.14439871042740768
2419,-0.10879964468259223
2420,-0.12081432937146745
2421,-0.12214929433689801
2422,-0.11992435272784704
2423,-0.06808321323695955
2424,0.044498832181019306
2425,0.1637557024261511
2426,0.08299032201760102
2427,0.08299032201760102
2428,0.23962621129478903
2429,0.19201246086109833
2430,0.22983646821496473
2431,0.24652353028284696
2432,0.35154077423005253
2433,0.3510957859082424
2434,0.3931471823193056
2435,0.3286238756568276
2436,0.30036711722188036
2437,0.2600956740980579
2438,0.21871176016970992
2439,0.18934253093023717
2440,0.20625208715902452
2441,0.21492935943432329
2442,0.18800756596480658
2443,0.20978865406006672
2444,0.2596218020022247
2445,0.3632925472747497
2446,0.3512791991101224
2447,0.3187986651835373
2448,0.3081201334816463
2449,0.36017797552836484
2450,0.26941045606229147
2451,0.33036707452725245
2452,0.33125695216907675
2453,0.3477196885428253
2454,0.28587319243604004
2455,0.24404894327030033
2456,0.2805339265850945
2457,0.23203559510567295
2458,0.14527252502780869
2459,0.19955506117908786
2460,0.15550611790878754
2461,0.12302558398220245
2462,0.02647385984427141
2463,0.060734149054505006
2464,0.06785317018909899
2465,0.20311457174638486
2466,0.13370411568409346
2467,0.13014460511679646
