,ic
145,0.2525027808676307
146,0.23381535038932147
147,0.20845383759733035
148,0.19733036707452725
149,0.13904338153503895
150,0.17864293659621802
151,0.14927697441601778
152,0.18175750834260287
153,0.15550611790878754
154,0.1568409343715239
155,0.06963292547274749
156,0.07942157953281423
157,0.01757508342602892
158,0.04293659621802002
159,0.05139043381535039
160,0.030033370411568408
161,-0.05139043381535039
162,0.0011123470522803117
163,-0.05139043381535039
164,-0.0825361512791991
165,-0.11857619577308119
166,-0.2382647385984427
167,-0.21201334816462733
168,-0.20845383759733035
169,-0.20311457174638486
170,-0.27430478309232476
171,-0.23515016685205786
172,-0.26852057842046717
173,-0.2507230255839822
174,-0.3090100111234705
175,-0.3081201334816463
176,-0.3041156840934371
177,-0.25383759733036704
178,-0.2738598442714127
179,-0.28898776418242494
180,-0.31657397107897667
181,-0.3681868743047831
182,-0.30945494994438266
183,-0.2774193548387097
184,-0.1897664071190211
185,-0.06740823136818688
186,-0.14438264738598441
187,-0.11768631813125695
188,-0.10878754171301447
189,-0.16440489432703
190,-0.17374860956618463
191,-0.15417130144605118
192,-0.10122358175750834
193,-0.08698553948832036
194,-0.09499443826473859
195,-0.08298109010011123
196,-0.08209121245828699
197,-0.11234705228031144
198,-0.12569521690767518
199,-0.10700778642936595
200,-0.056729699666295874
201,-0.10433815350389322
202,-0.13993325917686317
203,-0.14260289210233593
204,-0.09410456062291435
205,-0.189321468298109
206,-0.1835372636262514
207,-0.19911012235817574
208,-0.2088987764182425
209,-0.20133481646273638
210,-0.2622914349276974
211,-0.2560622914349277
212,-0.2502780867630701
213,-0.19733036707452725
214,-0.18487208008898778
215,-0.20667408231368187
216,-0.10211345939933258
217,-0.06696329254727475
218,-0.10834260289210233
219,-0.16618464961067853
220,-0.1421579532814238
221,-0.1203559510567297
222,-0.24449388209121245
223,-0.217797552836485
224,-0.2146829810901001
225,-0.23114571746384868
226,-0.11056729699666296
227,-0.08075639599555061
228,-0.21379310344827587
229,-0.19332591768631813
230,-0.17953281423804227
231,-0.10255839822024472
232,0.023804226918798663
233,-0.07230255839822024
234,0.01846496106785317
235,0.08298109010011123
236,0.023804226918798663
237,0.10522803114571745
238,0.014460511679644046
239,-0.030923248053392655
240,-0.05406006674082313
241,-0.06607341490545049
242,-0.06384872080088987
243,-0.05361512791991101
244,-0.10656284760845385
245,-0.09988876529477196
246,-0.10166852057842046
247,-0.16529477196885425
248,-0.16529477196885425
249,-0.13147942157953282
250,-0.13681868743047831
251,-0.05361512791991101
252,-0.046496106785317015
253,-0.054505005561735265
254,-0.0389321468298109
255,-0.0011123470522803117
256,-0.03136818687430478
257,0.0006674082313681868
258,0.060734149054505006
259,0.04471635150166852
260,0.06829810901001113
261,-0.04516129032258065
262,-0.06874304783092325
263,0.040711902113459396
264,-0.08031145717463849
265,-0.1764182424916574
266,-0.1546162402669633
267,-0.2560622914349277
268,-0.2146829810901001
269,-0.20578420467185762
270,-0.2507230255839822
271,-0.17552836484983317
272,-0.24716351501668518
273,-0.1439377085650723
274,-0.14527252502780869
275,0.00778642936596218
276,0.029143492769744164
277,0.0064516129032258064
278,0.0771968854282536
279,-0.011345939933259176
280,0.0460511679644049
281,-0.06918798665183537
282,-0.05361512791991101
283,0.029588431590656286
284,0.08075639599555061
285,0.10166852057842046
286,0.08387096774193549
287,0.11457174638487205
288,0.12080088987764183
289,0.13147942157953282
290,0.1132369299221357
291,0.12791991101223582
292,0.10745272525027807
293,0.06473859844271414
294,0.09944382647385984
295,0.08075639599555061
296,0.05494994438264739
297,0.022914349276974413
298,0.09810901001112346
299,0.1839822024471635
300,0.2053392658509455
301,0.24093437152391545
302,0.14660734149054505
303,0.15506117908787542
304,0.10522803114571745
305,0.13058954393770855
306,0.0878754171301446
307,0.13281423804226916
308,0.11101223581757509
309,0.16395995550611792
310,0.15061179087875418
311,0.19288097886540603
312,0.20355951056729701
313,0.13592880978865407
314,0.029588431590656286
315,-0.05406006674082313
316,-0.0002224694104560623
317,-0.018909899888765295
318,-0.11190211345939934
319,-0.1350389321468298
320,-0.16796440489432704
321,-0.18442714126807563
322,-0.1581757508342603
323,-0.0843159065628476
324,-0.06874304783092325
325,-0.14126807563959956
326,-0.2
327,-0.2324805339265851
328,-0.18264738598442715
329,-0.2729699666295884
330,-0.23292547274749723
331,-0.2671857619577308
332,-0.1911012235817575
333,-0.1421579532814238
334,0.001557285873192436
335,0.014015572858731925
336,0.014905450500556172
337,-0.0914349276974416
338,-0.060289210233592884
339,-0.035817575083426034
340,-0.10211345939933258
341,-0.13770856507230256
342,-0.07452725250278086
343,-0.1203559510567297
344,-0.10122358175750834
345,-0.07007786429365963
346,-0.08698553948832036
347,-0.001557285873192436
348,0.0353726362625139
349,0.020689655172413793
350,0.018909899888765295
351,0.0424916573971079
352,0.06829810901001113
353,0.10211345939933258
354,0.17330367074527253
355,0.15239154616240266
356,0.14482758620689654
357,0.1906562847608454
358,0.21023359288097884
359,0.2
360,0.22402669632925473
361,0.17463848720800887
362,0.17018909899888765
363,0.25339265850945497
364,0.15283648498331479
365,0.06340378197997774
366,0.1243604004449388
367,0.1581757508342603
368,0.20355951056729701
369,0.1670745272525028
370,0.17241379310344826
371,0.1911012235817575
372,0.23737486095661847
373,0.19911012235817574
374,0.16262513904338155
375,0.054505005561735265
376,0.022914349276974413
377,-0.061179087875417135
378,-0.13103448275862067
379,-0.10789766407119021
380,-0.047830923248053395
381,-0.07630700778642936
382,-0.09187986651835373
383,-0.07185761957730812
384,-0.05272525027808676
385,0.09944382647385984
386,0.07897664071190211
387,-0.04160177975528365
388,-0.07986651835372637
389,-0.024249165739710785
390,-0.12525027808676306
391,-0.06251390433815351
392,-0.064293659621802
393,-0.08876529477196884
394,-0.10433815350389322
395,-0.14304783092324808
396,-0.15239154616240266
397,-0.15773081201334815
398,-0.1835372636262514
399,-0.13815350389321468
400,-0.16662958843159065
401,-0.12836484983314794
402,-0.17152391546162402
403,-0.14883203559510566
404,-0.1532814238042269
405,-0.028698553948832032
406,-0.12747497219132367
407,-0.14660734149054505
408,-0.11635150166852058
409,-0.07096774193548387
410,-0.05005561735261402
411,-0.09410456062291435
412,-0.13592880978865407
413,-0.185761957730812
414,-0.21156840934371526
415,-0.25428253615127916
416,-0.289432703003337
417,-0.2711902113459399
418,-0.307230255839822
419,-0.35172413793103446
420,-0.3103448275862069
421,-0.36284760845383757
422,-0.3650723025583982
423,-0.2921023359288098
424,-0.3192436040044494
425,-0.2867630700778643
426,-0.3810901001112347
427,-0.32057842046718577
428,-0.47230255839822033
429,-0.5194660734149055
430,-0.503448275862069
431,-0.5479421579532814
432,-0.41713014460511677
433,-0.4211345939933259
434,-0.4220244716351501
435,-0.37085650723025576
436,-0.31523915461624025
437,-0.23292547274749723
438,-0.22313681868743046
439,-0.22714126807563956
440,-0.21023359288097884
441,-0.24805339265850945
442,-0.17908787541713014
443,-0.14260289210233593
444,-0.13770856507230256
445,-0.1911012235817575
446,-0.18442714126807563
447,-0.1586206896551724
448,-0.13103448275862067
449,-0.15550611790878754
450,-0.13815350389321468
451,-0.13770856507230256
452,-0.16751946607341492
453,-0.23692992213570632
454,-0.16662958843159065
455,-0.15239154616240266
456,-0.22091212458286985
457,-0.21156840934371526
458,-0.11501668520578419
459,-0.1332591768631813
460,-0.2
461,-0.1982202447163515
462,-0.28186874304783094
463,-0.2631813125695217
464,-0.23559510567296996
465,-0.20800889877641823
466,-0.24983314794215797
467,-0.2040044493882091
468,-0.26985539488320354
469,-0.2667408231368187
470,-0.3010011123470523
471,-0.19421579532814237
472,-0.27608453837597335
473,-0.27786429365962184
474,-0.2854282536151279
475,-0.19154616240266964
476,-0.028924240917662554
477,0.1328733717219766
478,0.18752795591788612
479,0.12873059206714746
480,0.12694885376864024
481,0.10734973248506069
482,0.1525613418096817
483,0.18619165219400569
484,0.18574621761937885
485,0.1810691545857974
486,0.2726059596716064
487,0.28730530063429105
488,0.291091494518619
489,0.292205080955186
490,0.29576855755220044
491,0.3554567905521927
492,0.424053715044721
493,0.3788421057201001
494,0.36815167592905673
495,0.41492230626487153
496,0.40155926902606726
497,0.44209381531710684
498,0.4182630655745726
499,0.36859711050368354
500,0.4336305583991975
501,0.4371940349962119
502,0.4389757732947191
503,0.30846344292906447
504,0.3481071200708503
505,0.32027601659618815
506,0.2867949734066695
507,0.17330367074527253
508,0.11946607341490545
509,0.24849833147942155
510,0.3041156840934371
511,0.27474972191323693
512,0.23737486095661847
513,0.189321468298109
514,0.19955506117908786
515,0.21156840934371526
516,0.21245828698553948
517,0.22180200222469412
518,0.189321468298109
519,0.17997775305895441
520,0.10077864293659622
521,0.17775305895439378
522,0.1345939933259177
523,0.1510567296996663
524,0.1710789766407119
525,0.14349276974416017
526,0.040266963292547274
527,0.0037819799777530586
528,0.01935483870967742
529,-0.00689655172413793
530,-0.054505005561735265
531,-0.07185761957730812
532,-0.06473859844271414
533,-0.05094549499443826
534,-0.1385984427141268
535,-0.07541713014460512
536,-0.10656284760845385
537,-0.08609566184649611
538,-0.1439377085650723
539,-0.18131256952169075
540,-0.300111234705228
541,-0.3210233592880979
542,-0.3681868743047831
543,-0.3147942157953281
544,-0.3210233592880979
545,-0.33748609566184645
546,-0.24805339265850945
547,-0.3067853170189099
548,-0.2502780867630701
549,-0.31167964404894327
550,-0.314349276974416
551,-0.303670745272525
552,-0.3268075639599555
553,-0.3187986651835373
554,-0.34060066740823136
555,-0.2324805339265851
556,-0.24315906562847608
