decile,mean_ret,std_ret,count
1.0,-0.0035666770938040985,0.033143322814451585,326
2.0,-0.00026273128592095124,0.03536913792206646,326
3.0,-0.001166319922062679,0.037371566835805635,325
4.0,0.0034153963882207904,0.032580547860322814,326
5.0,0.001397341186741732,0.032877335380785404,325
6.0,0.00015750323404831512,0.0385078221658726,325
7.0,0.005186381459442312,0.033754711879890674,326
8.0,0.003368934367524943,0.042042785472914436,325
9.0,0.0069370011406486454,0.036091510492533875,326
10.0,0.008595834830956947,0.04615123705762156,326
