,0
40,-0.03658941064875054
45,0.008298929702946767
53,0.022517576143274765
54,-0.02154206261855074
76,-0.004975362109651216
79,0.020633302694574862
84,0.0021991410656787558
123,-0.02530848875496683
146,-0.0013803290383299638
147,-0.020359280408020153
148,-0.005452670475261545
149,-0.007080239017721368
156,0.03407840810485108
158,0.0007270881846411781
165,0.01268468263716227
166,-0.009256755973476194
167,-0.0007356312691593203
170,0.0013583589028310916
179,-0.005421291781744664
181,-0.020812063357355193
191,0.05486984930187089
194,0.03512675945177368
200,0.029740410636409975
209,-0.021232852853436346
216,-0.004182964790328758
218,0.009215641599451319
219,0.035690403807380866
220,0.08191274590216069
221,0.035724844041392645
222,0.047532624382776056
223,-0.022461794007181624
233,0.06774021149190323
237,2.8517071110956138e-05
238,-0.00963236945917234
239,0.0135158408905669
240,-0.007991826564926696
241,-0.0008675168451957038
243,0.004319833034712284
244,-0.010554608343146032
245,-0.016616483065667653
246,0.004687749201706115
247,0.021972346716671476
259,0.0322333670453705
260,-0.008080689316249945
261,0.011819960097717352
262,0.026323706110430445
263,0.018761420405302376
271,-0.015344417858844772
278,-0.027393904617462494
296,-0.007353211895405609
307,0.0019024055756498015
308,0.009286375796490942
309,-0.008751885448239682
314,-0.0006591654971611627
316,0.006450704102386462
318,0.0073304354950798345
321,-0.0007319079672126749
322,-0.005020002074282992
323,0.0008650852283671462
324,0.021951019913908576
325,-0.010012094107051728
333,0.01743860398140984
336,-0.014889109854115734
338,0.008125684295824609
340,-0.021855311492459117
361,-0.011663971849155352
362,0.037231258867499006
365,-0.009082137259495138
370,0.0043484534560434
371,-0.008909088978634516
377,-0.0006062161103568275
378,-0.005685537996263701
379,0.0006063147249422141
383,-0.012218402797257055
385,-0.003961494645252417
390,-0.005918044289542568
391,-0.00017495332146921783
392,-0.022912232640105223
404,-0.07266033805148686
405,-0.017830195140895788
412,-0.007278792413552226
414,-0.017354889432448006
415,0.019989744350348948
417,-0.022897694239450095
418,-0.00874957499326201
422,0.01059629179732402
435,-0.012335078420030454
436,0.02794153925251941
445,0.05427466814364745
446,-0.017602912667789794
449,-0.01706993513334787
450,0.010578499740153235
451,-0.035608102399411035
452,-0.009687625642924358
474,-0.030613390752887604
479,-0.0019234257012212819
481,-0.0015646833274107763
487,0.013266764799403363
501,-0.01327841923010531
514,-0.0002040145441397634
515,0.051932149246002535
