decile,mean_ret,std_ret,count
1.0,-7.343892105266095e-05,0.0228089750361931,49
2.0,0.0036166671420332828,0.021822849375067527,48
3.0,-0.00036602154132100827,0.026710807695907755,49
4.0,-0.007589034379183446,0.021019711754728214,48
5.0,3.202101765633217e-05,0.02001458900940058,49
6.0,-0.006578384406843543,0.021396042724196863,49
7.0,0.006338164808461323,0.022238701614767584,48
8.0,0.00630518912382126,0.01944497515288856,49
9.0,0.0018696110001857052,0.02292010932520616,49
10.0,0.00424816600180068,0.024246933103631074,49
