decile,mean_ret,std_ret,count
1.0,-0.006200270814756711,0.027250226984315663,34
2.0,0.00399583650573341,0.023453446265808114,34
3.0,-0.0014198141362419586,0.021047917691683272,34
4.0,-0.0011520739613979892,0.021263441851386736,34
5.0,0.0018031113819648953,0.02749785145996552,34
6.0,-0.003102089716387032,0.02346835476745293,34
7.0,0.005885687002480354,0.02164805489007508,33
8.0,-0.0030678673617907594,0.024924058370729273,34
9.0,0.0037662582180569737,0.02191195735870113,34
10.0,0.007463669283242759,0.02837972634086193,34
