,ic
147,-0.11101223581757509
148,-0.1604004449388209
149,-0.185761957730812
150,-0.15506117908787542
151,-0.13815350389321468
152,-0.12080088987764183
153,-0.1221357063403782
154,-0.026918798665183537
155,-0.13815350389321468
156,-0.13637374860956616
157,-0.23781979977753054
158,-0.3219132369299221
159,-0.22847608453837595
160,-0.26896551724137935
161,-0.23381535038932147
162,-0.09276974416017797
163,-0.12658509454949946
164,-0.0046718576195773085
165,0.04827586206896552
166,0.15417130144605118
167,0.05628476084538376
168,0.07185761957730812
169,0.1239154616240267
170,0.025583982202447165
171,0.057174638487208
172,0.025583982202447165
173,-0.05406006674082313
174,-0.0037819799777530586
175,-0.05050055617352613
176,-0.06340378197997774
177,-0.07230255839822024
178,-0.07630700778642936
179,-0.06651835372636263
180,-0.10478309232480533
181,-0.08609566184649611
182,-0.08520578420467186
183,-0.06162402669632924
184,-0.060734149054505006
185,-0.054505005561735265
186,-0.009566184649610678
187,-0.0002224694104560623
188,-0.07007786429365963
189,-0.08387096774193549
190,-0.11279199110122358
191,-0.1292547274749722
192,-0.217797552836485
193,-0.22491657397107895
194,-0.27208008898776415
195,-0.29521690767519465
196,-0.36284760845383757
197,-0.2703003337041157
198,-0.16484983314794216
199,-0.25339265850945497
200,-0.13993325917686317
201,-0.20444938820912126
202,-0.21156840934371526
203,-0.046496106785317015
204,-0.10567296996662959
205,-0.025583982202447165
206,0.034482758620689655
207,0.020244716351501667
208,-0.04427141268075639
209,-0.0771968854282536
210,-0.12302558398220245
211,-0.09454949944382647
212,-0.13948832035595105
213,-0.06384872080088987
214,-0.12480533926585094
215,-0.09098998887652948
216,-0.16129032258064516
217,-0.14927697441601778
218,-0.16529477196885425
219,-0.15639599555061176
220,-0.1710789766407119
221,-0.06607341490545049
222,-0.06651835372636263
223,-0.053170189098998885
224,-0.08476084538375972
225,-0.06918798665183537
226,-0.07586206896551724
227,-0.07541713014460512
228,-0.10122358175750834
229,-0.07764182424916574
230,-0.10433815350389322
231,-0.07052280311457175
232,-0.10789766407119021
233,-0.20222469410456062
234,-0.15728587319243603
235,-0.196440489432703
236,-0.29521690767519465
237,-0.2707452725250278
238,-0.23292547274749723
239,-0.08876529477196884
240,-0.013125695216907676
241,-0.09855394883203561
242,-0.04293659621802002
243,-0.11279199110122358
244,-0.030923248053392655
245,-0.12569521690767518
246,-0.058064516129032254
247,-0.07452725250278086
248,-0.0353726362625139
249,-0.04872080088987764
250,-0.09010011123470522
251,-0.20622914349276972
252,-0.16929922135706338
253,-0.14482758620689654
254,-0.1906562847608454
255,-0.14972191323692993
256,-0.23114571746384868
257,-0.2342602892102336
258,-0.19955506117908786
259,-0.22758620689655173
260,-0.18442714126807563
261,-0.1959955506117909
262,-0.15906562847608455
263,-0.1911012235817575
264,-0.09010011123470522
265,-0.061179087875417135
266,0.011790878754171301
267,-0.04471635150166852
268,0.03314794215795328
269,-0.029143492769744164
270,-0.06251390433815351
271,-0.06785317018909899
272,-0.09855394883203561
273,-0.1203559510567297
274,-0.2164627363737486
275,-0.18665183537263624
276,-0.23203559510567295
277,-0.23559510567296996
278,-0.26852057842046717
279,-0.22491657397107895
280,-0.23915461624026696
281,-0.2418242491657397
282,-0.27252502780867627
283,-0.2916573971078976
284,-0.23781979977753054
285,-0.2040044493882091
286,-0.16262513904338155
287,-0.14705228031145717
288,-0.1385984427141268
289,-0.07897664071190211
290,-0.1839822024471635
291,-0.22135706340378197
292,-0.16751946607341492
293,-0.22981090100111232
294,-0.3014460511679644
295,-0.32458286985539486
296,-0.3842046718576196
297,-0.3432703003337041
298,-0.4229143492769744
299,-0.4064516129032258
300,-0.31523915461624025
301,-0.17908787541713014
302,-0.13770856507230256
303,-0.13637374860956616
304,-0.038042269187986644
305,0.05139043381535039
306,-0.06340378197997774
307,-0.0046718576195773085
308,-0.004226918798665183
309,-0.047385984427141266
310,-0.08387096774193549
311,-0.09365962180200223
312,-0.03759733036707453
313,-0.04338153503893215
314,-0.07185761957730812
315,-0.1604004449388209
316,-0.15016685205784203
317,-0.17374860956618463
318,-0.17819799777530587
319,-0.1403781979977753
320,-0.025583982202447165
321,-0.01846496106785317
322,-0.020244716351501667
323,-0.015350389321468297
324,-0.0028921023359288096
325,-0.028698553948832032
326,-0.008231368186874304
327,0.05094549499443826
328,0.029588431590656286
329,0.015350389321468297
330,-0.05228031145717464
331,-0.09365962180200223
332,-0.0914349276974416
333,-0.06829810901001113
334,-0.17152391546162402
335,-0.24938820912124582
336,-0.1982202447163515
337,-0.25739710789766407
338,-0.25428253615127916
339,-0.20222469410456062
340,-0.10745272525027807
341,-0.046941045606229144
