decile,mean_ret,std_ret,count
1.0,-0.0029909301200663593,0.04000600089974695,232
2.0,-0.003990413905824477,0.03570411224931136,232
3.0,0.0007564943437974697,0.03515172638364653,232
4.0,-0.0010744010292962271,0.03974819429683166,231
5.0,0.003341420026362014,0.03675344627229016,232
6.0,0.002597651085378977,0.03854200846604679,231
7.0,0.007155908136897721,0.03802906618703876,232
8.0,0.0014159893410662999,0.04040283821291472,232
9.0,0.009883339919646527,0.041140862936594066,232
10.0,0.00899305259185717,0.05087916538794425,232
