time,open,high,low,close,MA,MA,MA,MA,MA
2009-10-05,0.00076392,0.00076392,0.00076392,0.00076392,,,,,
2009-10-06,0.00088454,0.00088454,0.00088454,0.00088454,,,,,
2009-10-07,0.0010504,0.0010504,0.0010504,0.0010504,,,,,
2009-10-08,0.00108428,0.00108428,0.00108428,0.00108428,,,,,
2009-10-09,0.00120045,0.00120045,0.00120045,0.00120045,,,,,
2009-10-10,0.00112042,0.00112042,0.00112042,0.00112042,,,,,
2009-10-11,0.00115338,0.00115338,0.00115338,0.00115338,,,,,
2009-10-12,0.00110205,0.00110205,0.00110205,0.00110205,,0.00104493,,,
2009-10-13,0.00112878,0.00112878,0.00112878,0.00112878,,0.0010905375,,,
2009-10-14,0.00113556,0.00113556,0.00113556,0.00113556,,0.001121915,,,
2009-10-15,0.00117006,0.00117006,0.00117006,0.00117006,,0.0011368725,,,
2009-10-16,0.00124491,0.00124491,0.00124491,0.00124491,,0.0011569512500000001,,,
2009-10-17,0.00124137,0.00124137,0.00124137,0.00124137,,0.00116206625,,,
2009-10-18,0.00122546,0.00122546,0.00122546,0.00122546,,0.00117519625,,,
2009-10-19,0.00124799,0.00124799,0.00124799,0.00124799,0.0011169046666666667,0.0011870225,,,
2009-10-20,0.00123349,0.00123349,0.00123349,0.00123349,0.0011482093333333335,0.0012034525,,,
2009-10-21,0.00121062,0.00121062,0.00121062,0.00121062,0.001169948,0.0012136825,,,
2009-10-22,0.00121981,0.00121981,0.00121981,0.00121981,0.0011812419999999999,0.0012242137499999999,,,
2009-10-23,0.00125717,0.00125717,0.00125717,0.00125717,0.001192768,0.0012351024999999998,,,
2009-10-24,0.0012732,0.0012732,0.0012732,0.0012732,0.0011976180000000001,0.0012386387499999998,,,
2009-10-25,0.00128808,0.00128808,0.00128808,0.00128808,0.0012087953333333333,0.0012444774999999999,,,
2009-10-26,0.00126622,0.00126622,0.00126622,0.00126622,0.001216318,0.0012495725,,,
2009-10-27,0.00126322,0.00126322,0.00126322,0.00126322,0.0012270626666666667,0.00125147625,,,
2009-10-28,0.00128455,0.00128455,0.00128455,0.00128455,0.0012374473333333332,0.00125785875,,,
2009-10-29,0.00126555,0.00126555,0.00126555,0.00126555,0.0012461133333333332,0.001264725,,,
2009-10-30,0.00125563,0.00125563,0.00125563,0.00125563,0.0012518179999999998,0.0012692025,,,
2009-10-31,0.00124662,0.00124662,0.00124662,0.00124662,0.0012519319999999999,0.00126788375,,,
2009-11-01,0.00121911,0.00121911,0.00121911,0.00121911,0.001250448,0.0012611224999999999,,,
2009-11-02,0.00125614,0.00125614,0.00125614,0.00125614,0.0012524933333333333,0.00125713,,,
2009-11-03,0.0012732,0.0012732,0.0012732,0.0012732,0.0012541739999999998,0.0012580025,,,
2009-11-04,0.00130618,0.00130618,0.00130618,0.00130618,0.0012590199999999998,0.0012633725,,,
2009-11-05,0.00130618,0.00130618,0.00130618,0.00130618,0.0012653906666666667,0.00126607625,,,
2009-11-06,0.00128619,0.00128619,0.00128619,0.00128619,0.001269816,0.0012686562499999998,,,
2009-11-07,0.00127967,0.00127967,0.00127967,0.00127967,0.001271316,0.0012716612499999998,,,
2009-11-08,0.00126048,0.00126048,0.00126048,0.00126048,0.0012704679999999999,0.0012733937499999999,,,
2009-11-09,0.00126048,0.00126048,0.00126048,0.00126048,0.001268628,0.0012785649999999997,,,
2009-11-10,0.00123576,0.00123576,0.00123576,0.00123576,0.001266597333333333,0.0012760174999999997,,,
2009-11-11,0.00129946,0.00129946,0.00129946,0.00129946,0.0012690133333333332,0.0012792999999999997,,,
2009-11-12,0.00134093,0.00134093,0.00134093,0.00134093,0.0012727719999999997,0.0012836437499999997,,,
2009-11-13,0.00135534,0.00135534,0.00135534,0.00135534,0.0012787579999999998,0.0012897887499999997,,,
2009-11-14,0.00128619,0.00128619,0.00128619,0.00128619,0.0012807953333333333,0.0012897887499999997,,,
2009-11-15,0.00123576,0.00123576,0.00123576,0.00123576,0.0012800713333333332,0.0012842999999999997,,,
2009-11-16,0.00118912,0.00118912,0.00118912,0.00118912,0.0012780719999999997,0.0012753799999999998,,,
2009-11-17,0.00117801,0.00117801,0.00117801,0.00117801,0.001272863333333333,0.0012650712499999996,,,
