time,close
2009-11-25,2206359000000
2009-12-02,2204074000000
2009-12-09,2186383000000
2009-12-16,2235763000000
2009-12-23,2235803000000
2009-12-30,2234067000000
2010-01-06,2235304000000
2010-01-13,2291700000000
2010-01-20,2251806000000
2010-01-27,2246886000000
2010-02-03,2249319000000
2010-02-10,2256679000000
2010-02-17,2277574000000
2010-02-24,2286127000000
2010-03-03,2280147000000
2010-03-10,2282474000000
2010-03-17,2307997000000
2010-03-24,2313149000000
2010-03-31,2307150000000
2010-04-07,2307575000000
2010-04-14,2339345000000
2010-04-21,2337556000000
2010-04-28,2330472000000
2010-05-05,2326164000000
2010-05-12,2336103000000
2010-05-19,2350890000000
2010-05-26,2334041000000
2010-06-02,2336216000000
2010-06-09,2331529000000
2010-06-16,2344316000000
2010-06-23,2344497000000
2010-06-30,2330851000000
2010-07-07,2332017000000
2010-07-14,2340717000000
2010-07-21,2332322000000
2010-07-28,2325298000000
2010-08-04,2326479000000
2010-08-11,2327533000000
2010-08-18,2313662000000
2010-08-25,2301015000000
2010-09-01,2301996000000
2010-09-08,2305802000000
2010-09-15,2296079000000
2010-09-22,2307171000000
2010-09-29,2298691000000
2010-10-06,2308092000000
2010-10-13,2309885000000
2010-10-20,2305227000000
2010-10-27,2295392000000
2010-11-03,2300353000000
2010-11-10,2312768000000
2010-11-17,2314757000000
2010-11-24,2346001000000
2010-12-01,2346920000000
2010-12-08,2382294000000
2010-12-15,2385754000000
2010-12-22,2427921000000
2010-12-29,2420570000000
2011-01-05,2436064000000
2011-01-12,2468131000000
2011-01-19,2425164000000
2011-01-26,2443527000000
2011-02-02,2469419000000
2011-02-09,2500481000000
2011-02-16,2508868000000
2011-02-23,2533221000000
2011-03-02,2545119000000
2011-03-09,2577076000000
2011-03-16,2583046000000
2011-03-23,2601341000000
2011-03-30,2622523000000
2011-04-06,2648676000000
2011-04-13,2665408000000
2011-04-20,2685782000000
2011-04-27,2690985000000
2011-05-04,2718757000000
2011-05-11,2744498000000
2011-05-18,2758009000000
2011-05-25,2774996000000
2011-06-01,2788723000000
2011-06-08,2811206000000
2011-06-15,2827549000000
2011-06-22,2856403000000
2011-06-29,2865251000000
2011-07-06,2870103000000
2011-07-13,2878074000000
2011-07-20,2871301000000
2011-07-27,2863576000000
2011-08-03,2867215000000
2011-08-10,2872423000000
2011-08-17,2857906000000
2011-08-24,2859433000000
2011-08-31,2853888000000
2011-09-07,2858660000000
2011-09-14,2863540000000
2011-09-21,2857747000000
2011-09-28,2850921000000
2011-10-05,2859701000000
2011-10-12,2860822000000
2011-10-19,2852390000000
2011-10-26,2845685000000
2011-11-02,2822034000000
2011-11-09,2839786000000
2011-11-16,2831576000000
2011-11-23,2821980000000
2011-11-30,2814235000000
2011-12-07,2820691000000
2011-12-14,2902488000000
2011-12-21,2916085000000
2011-12-28,2926095000000
2012-01-04,2917689000000
2012-01-11,2899149000000
2012-01-18,2919423000000
2012-01-25,2919545000000
2012-02-01,2924947000000
2012-02-08,2928275000000
2012-02-15,2937893000000
2012-02-22,2932813000000
2012-02-29,2925722000000
2012-03-07,2884747000000
2012-03-14,2893560000000
2012-03-21,2892646000000
2012-03-28,2878137000000
2012-04-04,2865478000000
2012-04-11,2867200000000
2012-04-18,2875470000000
2012-04-25,2866561000000
2012-05-02,2864280000000
2012-05-09,2864150000000
2012-05-16,2850984000000
2012-05-23,2859495000000
2012-05-30,2842654000000
2012-06-06,2852018000000
2012-06-13,2869071000000
2012-06-20,2870846000000
2012-06-27,2863547000000
2012-07-04,2865858000000
2012-07-11,2866279000000
2012-07-18,2855807000000
2012-07-25,2846757000000
2012-08-01,2851118000000
2012-08-08,2856181000000
2012-08-15,2833317000000
2012-08-22,2825661000000
2012-08-29,2812806000000
2012-09-05,2822169000000
2012-09-12,2823448000000
2012-09-19,2821574000000
2012-09-26,2804457000000
2012-10-03,2808512000000
2012-10-10,2811623000000
2012-10-17,2846920000000
2012-10-24,2840964000000
2012-10-31,2823137000000
2012-11-07,2830791000000
2012-11-14,2877244000000
2012-11-21,2871161000000
2012-11-28,2851362000000
