decile,mean_ret,std_ret,count
1.0,-0.01057379203917525,0.042293050366052964,326
2.0,-0.002856837436813964,0.03212850894527061,326
3.0,-0.001009729961717208,0.03283436424704022,324
4.0,-0.00035310674018065104,0.027457981790583078,326
5.0,-0.00017632804201765006,0.02911822338214184,326
6.0,0.00020826508725370387,0.032604350174709466,325
7.0,0.0030127346213323623,0.033668814806522486,326
8.0,0.009322693396843494,0.03923005473667879,325
9.0,0.00718570075153901,0.03851968555556487,326
10.0,0.01931458012791742,0.050325492494488915,326
