,ic
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,-0.19777530589543937
30,-0.18086763070077863
31,-0.16395995550611792
32,-0.14126807563959956
33,-0.06785317018909899
34,-0.2266963292547275
35,-0.217797552836485
36,-0.24449388209121245
37,-0.2422691879866518
38,-0.27697441601779754
39,-0.28186874304783094
40,-0.13014460511679646
41,-0.13103448275862067
42,-0.18442714126807563
43,-0.20578420467185762
44,-0.20934371523915463
45,-0.21023359288097884
46,-0.23337041156840932
47,-0.19555061179087874
48,-0.17063403781979977
49,-0.053170189098998885
50,-0.13236929922135707
51,-0.08520578420467186
52,-0.189321468298109
53,-0.10300333704115683
54,-0.14438264738598441
55,-0.14126807563959956
56,-0.18620689655172412
57,-0.1768631813125695
58,-0.13993325917686317
59,-0.14640115787555355
60,-0.11547446950974515
61,-0.16086327833438482
62,-0.16086327833438482
63,-0.16264323162162558
64,-0.14528868707102804
65,-0.14840360532369942
66,-0.21270441782527233
67,-0.13371899070396306
68,-0.17844031704588745
69,-0.07498053222501753
70,-0.06585827162790858
71,-0.07898542712130928
72,-0.005562354022627413
73,-0.024474357699560623
74,-0.059405940961660776
75,-0.019134497837838306
76,0.08810768771841825
77,0.11436199870521964
78,0.11992435272784704
79,0.10101234905091384
80,0.06118589424890156
81,0.01935914600665067
82,0.1275033409403544
83,0.09078771920360314
84,0.09279038948015321
85,0.027369827112850943
86,-0.05184690827068513
87,-0.19314642222727332
88,-0.2311714331803953
89,-0.20914451125079078
90,-0.11925687024513176
91,-0.1557459126335676
92,-0.1303815782903866
93,-0.21359439446889272
94,-0.2020246981018277
95,-0.22494159667505262
96,-0.25542329671905084
97,-0.22368130415508627
98,-0.2877810211666931
99,-0.25172493034766424
100,-0.27309150268486654
101,-0.4115290859529896
102,-0.3772535428287276
103,-0.4066325797923807
104,-0.4774093506593632
105,-0.46984202295660404
106,-0.4324505213665001
107,-0.3776986797524193
108,-0.38036950129456953
109,-0.3523258751019916
110,-0.2821225960276625
111,-0.26896551724137935
112,-0.1686505739660632
113,-0.10279230233815462
114,-0.0453888088246397
115,-0.06140838840980666
116,-0.006674824827152898
117,-0.005784848183532511
118,-0.006229836505342703
119,0.05317610445631808
120,0.06674824827152898
121,0.07030815484601051
122,0.05117365700817221
123,-0.009344754758014056
124,0.005339859861722318
125,0.020024474481458693
126,-0.046278785468260086
127,-0.03181312569521691
128,-0.08698553948832036
129,-0.1884315906562848
130,-0.06651835372636263
131,0.03848720800889878
132,0.045606229143492764
133,-0.0033370411568409346
134,-0.00778642936596218
135,0.06295884315906564
136,0.15906562847608455
137,0.17374860956618463
138,0.22224694104560622
139,0.28409343715239155
140,0.2578420467185762
141,0.16618464961067853
142,0.21690767519466073
