decile,mean_ret,std_ret,count
1.0,-0.009583024352438227,0.03490276712305791,326
2.0,-0.003084816437867632,0.03756302434427689,325
3.0,-0.0029649068460332255,0.03271779371213864,325
4.0,0.003015922521157186,0.032514348609155135,326
5.0,-0.00021762991146606625,0.027142726646250215,326
6.0,-0.0012739992643285682,0.03406482619388521,325
7.0,0.00400854765395707,0.03454402096444272,326
8.0,0.008943335379071713,0.04232871849422425,325
9.0,0.011844824934651216,0.040970671687672176,326
10.0,0.013367852819167919,0.045207033574767845,326
