decile,mean_ret,std_ret,count
1.0,-0.0023818884771180434,0.024865266445234138,49
2.0,0.001368950164220618,0.019042988441311002,49
3.0,-0.0009234370167088982,0.019128790490301195,49
4.0,-0.002951190095515685,0.023395684507004043,48
5.0,0.0025428968001228827,0.01592857625224569,49
6.0,-0.0002987990757959198,0.024771407148296433,49
7.0,0.0009052561091270409,0.02717382303345977,48
8.0,0.008481103969489402,0.025043625734341015,49
9.0,-0.0016548733225266732,0.01885681205161634,49
10.0,0.0026795705659416053,0.02516856443570747,48
