time,label
2015-09-01,0.006440588853838136
2015-09-02,-0.0107091550215489
2015-09-03,0.01601760176017586
2015-09-04,0.021438780371605626
2015-09-05,0.021752035278154613
2015-09-06,-0.0004979873013238878
2015-09-07,0.013909072036537351
2015-09-08,-0.021007371007371045
2015-09-09,0.0017568076295646495
2015-09-10,0.004634849054240275
2015-09-11,-0.020074812967580957
2015-09-12,-0.020401238495143525
2015-09-13,-0.000303082784897879
2015-09-14,0.00017324266966967095
2015-09-15,-0.008400814099510656
2015-09-16,0.020175553517620903
2015-09-17,0.0007277085741193012
2015-09-18,-0.007229018735563364
2015-09-19,0.00012926020078407596
2015-09-20,-0.021109770808202644
2015-09-21,0.017119971833465364
2015-09-22,-0.0024663580113366557
2015-09-23,0.017827708857465208
2015-09-24,0.0025996164500319274
2015-09-25,-0.002677888293802555
2015-09-26,-0.005370157268891451
2015-09-27,0.03025238891031412
2015-09-28,-0.015097949507133057
2015-09-29,-0.0013091216216216672
2015-09-30,0.008414732123979807
2015-10-01,-0.0025997987252598387
2015-10-02,0.008114016648448574
2015-10-03,-0.001209391550940353
2015-10-04,0.010438413361169019
2015-10-05,0.022148760330578554
2015-10-06,-0.013583441138421803
2015-10-07,-0.004098360655737654
2015-10-08,0.007489711934156373
2015-10-09,0.004860713993954713
2015-10-10,0.00804845331490589
2015-10-11,-0.007339005605064841
2015-10-12,0.02063614575293493
2015-10-13,0.008955223880596996
2015-10-14,0.006666666666666599
2015-10-15,0.03236803949998035
2015-10-16,0.03587018409565368
2015-10-17,-0.028911689263466434
2015-10-18,0.00033960982604441803
2015-10-19,0.02214258770275368
2015-10-20,-0.011698712034542647
2015-10-21,0.029985063480209018
2015-10-22,0.012253924518725201
2015-10-23,0.01783603739121098
2015-10-24,0.00211126359125946
2015-10-25,0.00853260297060987
2015-10-26,0.0280969291832045
2015-10-27,0.031189677943716188
2015-10-28,0.034088669950739
2015-10-29,0.04227007113821135
2015-10-30,-0.0371431183156099
2015-10-31,0.04503164556962025
2015-11-01,0.10628955576416432
2015-11-02,0.10858675717844135
2015-11-03,0.01046913580246911
2015-11-04,-0.05400254129606108
2015-11-05,-0.029911659864648388
2015-11-06,0.025109170305676942
2015-11-07,-0.028286448998675273
2015-11-08,0.018711574445335444
2015-11-09,-0.10737339281028602
2015-11-10,-0.07563642777353174
2015-11-11,0.07120368898076013
2015-11-12,0.005017218857617856
2015-11-13,-0.015242371429415313
2015-11-14,-0.03854575996640375
2015-11-15,0.03612879071508801
2015-11-16,0.012616681722372736
2015-11-17,-0.001040768384430124
2015-11-18,-0.028100255998094847
2015-11-19,-0.01316998468606434
2015-11-20,0.017504655493482346
2015-11-21,-0.009699853587115559
2015-11-22,-0.0031725497443479966
2015-11-23,-0.010907517844451875
2015-11-24,0.030459231490159278
2015-11-25,0.07321509777171431
2015-11-26,0.013841807909604542
2015-11-27,-0.0008358874338254552
2015-11-28,0.042638036809815816
2015-11-29,0.00799700446655427
2015-11-30,-0.03791657822118455
2015-12-01,-0.009570037783722563
2015-12-02,0.003926264201381091
2015-12-03,0.007322552908218594
2015-12-04,0.07329900597516326
2015-12-05,0.002078042022627624
2015-12-06,0.015616999487967131
2015-12-07,0.06377615326443165
2015-12-08,-0.007748815165876777
2015-12-09,-0.009051178563752371
2015-12-10,0.10136405263411574
2015-12-11,-0.0468052516411378
2015-12-12,-0.005165170680195619
2015-12-13,0.021298689311426866
2015-12-14,0.052915791138525625
2015-12-15,-0.023754855046029033
2015-12-16,0.0013847979953400813
2015-12-17,0.017450666198388864
2015-12-18,-0.002329996548153246
2015-12-19,-0.04285961422022311
2015-12-20,-0.0115222990375492
2015-12-21,-0.004274090327299307
2015-12-22,0.0159990818317457
2015-12-23,0.03052279607789976
2015-12-24,-0.0014469559116917496
2015-12-25,-0.08553801567611485
2015-12-26,0.01394924491608851
2015-12-27,-0.004925175222579958
2015-12-28,0.027484294688749245
2015-12-29,-0.019083350702888024
2015-12-30,0.012914649982292525
2015-12-31,0.011561232576569935
2016-01-01,-0.0029494446748699055
2016-01-02,-0.009960711809567813
2016-01-03,0.01052779009780802
2016-01-04,-0.002448602448602455
2016-01-05,-0.006831233790292712
2016-01-06,0.06969152929655609
2016-01-07,-0.010418937181219667
2016-01-08,-0.01050660792951541
2016-01-09,0.0002671237450748709
2016-01-10,-0.00020028930677651324
2016-01-11,-0.03832969772514794
2016-01-12,-0.002152578464956978
2016-01-13,-0.004314444109392079
2016-01-14,-0.16328479906814208
2016-01-15,0.08141218398485339
2016-01-16,-0.0164263645726056
2016-01-17,0.013297733102979103
2016-01-18,-0.021105657452854643
2016-01-19,0.10719657984324282
2016-01-20,-0.020355142414491767
2016-01-21,-0.07311257633634216
2016-01-22,0.012101007979840483
2016-01-23,0.04460927976761675
2016-01-24,-0.029321945527224003
2016-01-25,0.0011510128913445605
2016-01-26,0.009095322040826748
2016-01-27,-0.04197787173709411
2016-01-28,-0.002087793017785833
2016-01-29,-0.002754237288135619
2016-01-30,-0.029318036966220595
2016-01-31,0.01614138761216899
2016-02-01,0.003984707339399929
2016-02-02,-0.010512201662643994
2016-02-03,0.05685945037671414
2016-02-04,-0.008770130269771137
2016-02-05,-0.0330884255187045
2016-02-06,-0.004655518394648839
2016-02-07,-0.0040859116690411534
2016-02-08,0.010310669653701865
2016-02-09,0.018327055114744528
2016-02-10,-0.008342734213080849
2016-02-11,0.013095584539273508
2016-02-12,0.02627043401054996
2016-02-13,0.03893129770992365
2016-02-14,-0.020573108008817176
2016-02-15,0.0184296074018504
